id,Evakuasi,kor_lat,kor_lon,Alamat_ID,Alamat_EN
167,kampi Hotel tunjungan sby,-7.264,112.743,"Jalan Taman Apsari, RW 02, Embong Kaliasin, Genteng, Surabaya, Jawa Timur, Jawa, 68485, Indonesia","Jalan Taman Apsari, RW 02, Embong Kaliasin, Genteng, Surabaya, East Java, Java, 68485, Indonesia"
168,Kantor OJK,-7.264,112.743,"Jalan Taman Apsari, RW 02, Embong Kaliasin, Genteng, Surabaya, Jawa Timur, Jawa, 68485, Indonesia","Jalan Taman Apsari, RW 02, Embong Kaliasin, Genteng, Surabaya, East Java, Java, 68485, Indonesia"
169,SMP Kristen Petra 2,-7.265,112.744,"19-21, Jalan Embong Trengguli, RW 03, Embong Kaliasin, Genteng, Surabaya, Jawa Timur, Jawa, 60271, Indonesia","19-21, Jalan Embong Trengguli, RW 03, Embong Kaliasin, Genteng, Surabaya, East Java, Java, 60271, Indonesia"
170,PLN PT. Persero- Area Pengatur Distribusi Jatim,-7.266,112.744,"SMP Kristen Petra 2 Surabaya, 2, Jalan Embong Wungu, RW 03, Embong Kaliasin, Genteng, Surabaya, Jawa Timur, Jawa, 60271, Indonesia","SMP Kristen Petra 2 Surabaya, 2, Jalan Embong Wungu, RW 03, Embong Kaliasin, Genteng, Surabaya, East Java, Java, 60271, Indonesia"
171,Graha Bukopin,-7.266,112.745,"Jalan Panglima Besar Sudirman, RW 03, Embong Kaliasin, Genteng, Surabaya, Jawa Timur, Jawa, 68485, Indonesia","Jalan Panglima Besar Sudirman, RW 03, Embong Kaliasin, Genteng, Surabaya, East Java, Java, 68485, Indonesia"
172,graha sudirman,-7.265,112.746,"BTN, Jalan Pemuda, RW 01, Embong Kaliasin, Genteng, Surabaya, Jawa Timur, Jawa, 60272, Indonesia","BTN, Jalan Pemuda, RW 01, Embong Kaliasin, Genteng, Surabaya, East Java, Java, 60272, Indonesia"
173,Sinarmas land plaza,-7.265,112.747,"Plaza Sinarmas, 60-70, Jalan Pemuda, RW 01, Embong Kaliasin, Genteng, Surabaya, Jawa Timur, Jawa, 60272, Indonesia","Plaza Sinarmas, 60-70, Jalan Pemuda, RW 01, Embong Kaliasin, Genteng, Surabaya, East Java, Java, 60272, Indonesia"
174,Hoel 88 Embong Kenongo sby,-7.265,112.746,"BTN, Jalan Pemuda, RW 01, Embong Kaliasin, Genteng, Surabaya, Jawa Timur, Jawa, 60272, Indonesia","BTN, Jalan Pemuda, RW 01, Embong Kaliasin, Genteng, Surabaya, East Java, Java, 60272, Indonesia"
175,Triliun Office & residence,-7.265,112.747,"Plaza Sinarmas, 60-70, Jalan Pemuda, RW 01, Embong Kaliasin, Genteng, Surabaya, Jawa Timur, Jawa, 60272, Indonesia","Plaza Sinarmas, 60-70, Jalan Pemuda, RW 01, Embong Kaliasin, Genteng, Surabaya, East Java, Java, 60272, Indonesia"
176,Mozaren Surabaya,-7.266,112.747,"Hotel 88 Embong Kenongo, Nomor 17, Jalan Embong Kenongo, RW 01, Embong Kaliasin, Genteng, Surabaya, Jawa Timur, Jawa, 60271, Indonesia","Hotel 88 Embong Kenongo, Nomor 17, Jalan Embong Kenongo, RW 01, Embong Kaliasin, Genteng, Surabaya, East Java, Java, 60271, Indonesia"
177,Gereja Kristen Abdiel Trinitas,-7.268,112.749,"Desy'R, Jalan Kayoon, RW 05, Embong Kaliasin, Genteng, Surabaya, Jawa Timur, Jawa, 60281, Indonesia","Desy'R, Jalan Kayoon, RW 05, Embong Kaliasin, Genteng, Surabaya, East Java, Java, 60281, Indonesia"
