id,Evakuasi,kor_lat,kor_lon,alamat
160,Balai Pemuda Surabaya,-7.264,112.745,"Jl. Gubernur Suryo No.15, Embong Kaliasin, Kec. Genteng, Surabaya, Jawa Timur 60271"
161,Grand Surabaya Hotel,-7.264,112.747,"Jl. Pemuda No.21, Embong Kaliasin, Kec. Genteng, Surabaya, Jawa Timur 60271"
162,Garden Palace Hotel Surabaya,-7.263,112.747,"Jl. Yos Sudarso No.11, Embong Kaliasin, Kec. Genteng, Surabaya, Jawa Timur 60271"
163,GTI Bukit Zaitun,-7.262,112.747,"Jl. Taman Simpang No.12, Embong Kaliasin, Kec. Genteng, Surabaya, Jawa Timur 60271"
164,WTC Surabaya,-7.263,112.748,"Jl. Pemuda No.27-31, Embong Kaliasin, Kec. Genteng, Surabaya, Jawa Timur 60263"
165,Delta XXI,-7.265,112.748,"Jl. Pemuda No.31-37 Lt. 5, Embong Kaliasin, Kec. Genteng, Surabaya, Jawa Timur 60271"
166,Taman Apsari,-7.263,112.742,"Jl. Taman Apsari No.63, Embong Kaliasin, Kec. Genteng, Surabaya, Jawa Timur 60271"
167,kampi Hotel tunjungan sby,-7.264,112.743,"Jl. Taman Apsari No.3 5, RW.5, Embong Kaliasin, Kec. Genteng, Surabaya, Jawa Timur 60271"
168,Kantor OJK,-7.264,112.743,"Jl. Gubernur Suryo No.28-30, Embong Kaliasin, Kec. Genteng, Surabaya, Jawa Timur 60174"
169,SMP Kristen Petra 2,-7.265,112.744,"Jl. Embong Wungu No.2, Embong Kaliasin, Kec. Genteng, Surabaya, Jawa Timur 60271"
170,PLN PT. Persero- Area Pengatur Distribusi Jatim,-7.266,112.744,"Jl. Embong Wungu No.4, RW.2, Embong Kaliasin, Kec. Genteng, Surabaya, Jawa Timur 60271"
171,Graha Bukopin,-7.266,112.745,"Jl. Panglima Sudirman No.10-18, Embong Kaliasin, Kec. Genteng, Surabaya, Jawa Timur 60271"
172,graha sudirman,-7.265,112.746,"Jl. Panglima Sudirman No.7-9, Embong Kaliasin, Kec. Genteng, Surabaya, Jawa Timur 60271"
173,Sinarmas land plaza,-7.265,112.747,"Jl. Pemuda No.60-70, Embong Kaliasin, Kec. Genteng, Surabaya, Jawa Timur 60271"
174,Hoel 88 Embong Kenongo sby,-7.265,112.746,"Jl. Embong Kenongo No.11-17, Embong Kaliasin, Kec. Genteng, Surabaya, Jawa Timur 60271"
